id_centro_poblado,nombre_centro_poblado,municipio,departamento
5361002,EL ARO - BUILÓPOLIS,ITUANGO,ANTIOQUIA
5361003,LA GRANJA,ITUANGO,ANTIOQUIA
5361004,PASCUITA,ITUANGO,ANTIOQUIA
5361005,SANTA ANA,ITUANGO,ANTIOQUIA
5361006,SANTA LUCÍA,ITUANGO,ANTIOQUIA
5361007,SANTA RITA,ITUANGO,ANTIOQUIA
5361018,PÍO X,ITUANGO,ANTIOQUIA
5364000,JARDÍN,JARDÍN,ANTIOQUIA
5364001,CRISTIANÍA,JARDÍN,ANTIOQUIA
5364002,LA ARBOLEDA - LAS MACANAS,JARDÍN,ANTIOQUIA
5364006,QUEBRADA BONITA,JARDÍN,ANTIOQUIA
5368000,JERICÓ,JERICÓ,ANTIOQUIA
5368005,GUACAMAYAL,JERICÓ,ANTIOQUIA
5368007,LOS PATIOS,JERICÓ,ANTIOQUIA
5376000,LA CEJA,LA CEJA,ANTIOQUIA
5376002,EL TAMBO,LA CEJA,ANTIOQUIA
5376003,SAN JOSÉ,LA CEJA,ANTIOQUIA
5376005,SAN NICOLÁS,LA CEJA,ANTIOQUIA
5376006,SAN JUDAS,LA CEJA,ANTIOQUIA
5376008,TOLEDO,LA CEJA,ANTIOQUIA
5380000,LA ESTRELLA,LA ESTRELLA,ANTIOQUIA
5380007,LA TABLACITA,LA ESTRELLA,ANTIOQUIA
5380008,SAGRADA FAMILIA,LA ESTRELLA,ANTIOQUIA
5380009,SAN JOSÉ - MELEGUINDO,LA ESTRELLA,ANTIOQUIA
5380010,LA RAYA,LA ESTRELLA,ANTIOQUIA
5380011,SAN ISIDRO,LA ESTRELLA,ANTIOQUIA
5380012,TARAPACÁ,LA ESTRELLA,ANTIOQUIA
5380013,SAN MIGUEL,LA ESTRELLA,ANTIOQUIA
5380019,LA BERMEJALA,LA ESTRELLA,ANTIOQUIA
5380021,PEÑAS BLANCAS,LA ESTRELLA,ANTIOQUIA
5390000,LA PINTADA,LA PINTADA,ANTIOQUIA
5390001,LA BOCANA,LA PINTADA,ANTIOQUIA
5400000,LA UNIÓN,LA UNIÓN,ANTIOQUIA
5400001,MESOPOTAMIA,LA UNIÓN,ANTIOQUIA
5400004,LA CONCHA,LA UNIÓN,ANTIOQUIA
5411000,LIBORINA,LIBORINA,ANTIOQUIA
5411001,EL CARMEN - LA VENTA,LIBORINA,ANTIOQUIA
5411002,LA HONDA,LIBORINA,ANTIOQUIA
5411003,LA MERCED (PLAYÓN),LIBORINA,ANTIOQUIA
5411004,SAN DIEGO (PLACITA),LIBORINA,ANTIOQUIA
5411005,CURITÍ,LIBORINA,ANTIOQUIA
5411007,CRISTÓBAL,LIBORINA,ANTIOQUIA
